RunID,seed,log_inv_sq_dist_m,seed_x_m,seed_y_m
Run_10_1,11,-15.849583799043447,6.340547581203282e-05,4.315934062469751e-05
Run_10_1,12,-15.379119010404862,2.139922883361578e-05,2.2481807204894723e-05
Run_10_1,13,-15.017675782691185,9.322417294606569e-05,7.541914260946214e-05
Run_10_1,14,-15.615358910551118,4.0670741559006274e-05,2.18461784766987e-05
Run_10_1,15,-15.347524582142617,1.311830240301788e-05,6.308678032364696e-05
Run_10_1,16,-15.572648822168896,7.787480338010938e-05,4.937202201690525e-05
Run_10_1,17,-15.514013085646823,2.5077786715701225e-05,2.6793288928456605e-05
Run_10_1,18,-14.941495631200153,8.997581873554737e-05,1.0808721208013597e-05
Run_10_1,19,-15.361755020234241,1.080626759212464e-05,5.16530390130356e-05
Run_10_1,20,-14.705775500605842,9.581225647125394e-05,1.7884087981656196e-06
