RunID,seed,dist_m,centroid_x_m,centroid_y_m,seed_x_m,seed_y_m
Run_8_1,31,1.7265861055728634e-06,7.84e-05,6.34e-05,8.007414964959025e-05,6.382228252477944e-05
Run_8_1,32,1.134215753625458e-07,6.38e-05,9.4e-06,6.370001987088473e-05,9.346442297101022e-06
Run_8_1,33,1.9650849419283104e-06,8.48e-05,5.96e-05,8.334565178956837e-05,6.092152567580343e-05
Run_8_1,34,8.810851927201288e-07,1.48e-05,6.6e-06,1.471599934156984e-05,5.722928163595498e-06
Run_8_1,35,1.4169423606097562e-06,7.72e-05,2.08e-05,7.841367472428829e-05,2.006875495426357e-05
Run_8_1,36,1.937481023772783e-06,7.52e-05,1.5e-05,7.703117760829628e-05,1.5632946509867908e-05
Run_8_1,37,9.742939775319034e-07,1.64e-05,5.88e-05,1.7302457639016212e-05,5.916717702057213e-05
Run_8_1,38,1.2782420964714002e-06,7.22e-05,6e-06,7.274778210557998e-05,7.1549188811331986e-06
Run_8_1,39,4.768198899533235e-06,2.4e-06,8.48e-05,1.7295942408964037e-06,8.95208343397826e-05
Run_8_1,40,2.6549696365342596e-06,6.58e-05,3.52e-05,6.839520649518818e-05,3.5760149103589355e-05
Run_8_1,41,2.395344443084371e-06,5.92e-05,8.98e-05,5.839398663956672e-05,9.205566341988742e-05
Run_8_1,42,1.4585844884736705e-06,8.32e-05,4.2e-06,8.18418829003349e-05,3.668035101145506e-06
Run_8_1,43,1.3332316179300572e-06,7.6e-06,8.96e-05,6.7106581758707765e-06,9.059326616115868e-05
Run_8_1,44,1.569024034661462e-06,3.04e-05,9.84e-05,2.9407547367736696e-05,9.961526712868364e-05
Run_8_1,45,1.83718808306779e-06,2.84e-05,2.12e-05,3.0141372256912292e-05,2.1785561880096797e-05
Run_8_1,46,4.268471610983648e-06,7.8e-05,7.9e-05,7.778259140904993e-05,7.473706868477166e-05
Run_8_1,47,2.417411985303637e-06,3.8e-06,9.66e-05,2.0075893495231867e-06,9.49779196176678e-05
Run_8_1,48,2.8498239221593836e-06,7.56e-05,3.92e-05,7.383192263077945e-05,3.696496111806482e-05
Run_8_1,49,1.6672828966049657e-06,6.3e-05,6e-05,6.460903428960592e-05,5.956314657814801e-05
Run_8_1,50,1.675375398911476e-06,1.48e-05,9.08e-05,1.3619479653425517e-05,8.96111962152645e-05
Run_8_1,51,2.2360064436852116e-06,8.6e-05,3.16e-05,8.657893852796405e-05,2.944024191237986e-05
Run_8_1,52,1.3347195770808625e-06,8.88e-05,4.3e-05,8.939775456674398e-05,4.419338419102133e-05
Run_8_1,53,1.7889956296315671e-06,6.74e-05,7.9e-05,6.690781395882368e-05,7.72800412029028e-05
Run_8_1,54,3.0193819053058405e-06,2.34e-05,7.2e-06,2.047244552522898e-05,6.461019697599113e-06
Run_8_1,55,6.530049003222312e-06,6.96e-05,9.5e-05,6.342250211164355e-05,9.711661518085748e-05
Run_8_1,56,1.853950342034687e-06,7.58e-05,5.14e-05,7.539289160631597e-05,5.320869970601052e-05
Run_8_1,57,1.46917433724842e-06,4.32e-05,6.14e-05,4.3565383763052526e-05,6.282301368191838e-05
Run_8_1,58,1.6055392671325369e-06,8.6e-06,5.6e-06,1.0165742319077252e-05,5.955256707966328e-06
Run_8_1,59,2.1694606312805858e-06,5.5e-05,1.54e-05,5.60411542421207e-05,1.3496698322705924e-05
Run_8_1,60,2.301720305667412e-06,3e-05,7.52e-05,2.7767933718860148e-05,7.576195772271604e-05
Run_8_1,61,2.0210062975057126e-06,5.46e-05,7.58e-05,5.65332307247445e-05,7.521086044143886e-05
Run_8_1,62,5.297839556695339e-07,5.36e-05,4.34e-05,5.359056054148823e-05,4.392969985492528e-05
Run_8_1,63,9.553374365131207e-07,5.6e-06,6.94e-05,4.818390822038055e-06,6.885067613329739e-05
Run_8_1,64,2.417843161712751e-06,7.38e-05,2.78e-05,7.56211998173967e-05,2.9390344861894848e-05
